# Name  E(B-V)   V           K                IRAC3              IRAC4               K-IRAC3              K-IRAC4        Notes
AV456   0.36 12.83 12.817999839782715 12.664999961853027 12.592000007629395    0.1529998779296875  0.2259998321533203   U,E2,J17
AV210   0.16  12.6 12.784000396728516 12.677000045776367 12.697999954223633   0.10700035095214844 0.08600044250488281   U
AV175   0.16 13.53 13.954000473022461  13.95199966430664                0.0 0.0020008087158203125                10.0   U
AV18    0.2 12.44 12.302000045776367 12.152000427246094                0.0   0.14999961853027344                10.0    U,E1,J17
AzV23   0.18 12.25 11.956999778747559 11.690999984741211 11.701000213623047 0.26599979400634766  0.2559995651245117     E1
2DFS0699   0.23  14.1 13.949999809265137 13.859000205993652                0.0 0.09099960327148438                10.0  E1
