#   Name    E(B-V)   V           K                IRAC3              IRAC4               K-IRAC3              K-IRAC4        Notes
SK-67d261   0.16  12.4 12.753000259399414   12.6850004196167  12.70300006866455   0.06799983978271484  0.05000019073486328   U
SK-66d171   0.26 10.25  12.63599967956543 12.444999694824219 12.442999839782715   0.19099998474121094  0.19299983978271484   U
 SK-71d41   0.19 12.82 12.946000099182129 12.894000053405762                0.0   0.05200004577636719                 10.0   U
 SK-68d52   0.17 11.54 11.753999710083008  11.57699966430664 11.520999908447266    0.1770000457763672   0.2329998016357422   U,R20
 SK-70d79   0.24 12.71  12.76099967956543 12.598999977111816 12.536999702453613   0.16199970245361328   0.2239999771118164   U,R20
  SK-67d2   0.37 11.04 10.916999816894531 10.711999893188477  10.64799976348877    0.2049999237060547   0.2690000534057617   U,R20
SK-68d23a   0.18 13.05 13.196000099182129 13.192000389099121  13.28600025177002 0.0039997100830078125 -0.09000015258789062   U
 SK-68d26   0.46 11.44  11.25100040435791 11.003999710083008 10.869000434875488   0.24700069427490234   0.3819999694824219   U,E1,R20
sk-69d270   0.19 11.27 10.892000198364258 10.704999923706055 10.730999946594238 0.18700027465820312 0.16100025177001953      E2
sk-70d116   0.19 11.59 11.515999794006348 11.333000183105469  11.39799976348877  0.1829996109008789 0.11800003051757812      E2
 sk-68d23   0.31 12.81 11.973999977111816 11.756999969482422 11.699999809265137 0.21700000762939453  0.2740001678466797      E1
# sk-68d26   0.19 11.63  11.25100040435791 11.003999710083008 10.869000434875488 0.24700069427490234  0.3819999694824219     E1
sk-68d129   0.17 12.77 12.553000450134277 12.333999633789062 12.279000282287598 0.21900081634521484  0.2740001678466797      E1,R20
sk-69d210   0.41 12.59 11.609000205993652  11.29800033569336 11.286999702453613 0.31099987030029297 0.32200050354003906      E1
sk-69d213   0.16 11.97 11.600000381469727 11.413000106811523  11.38599967956543 0.18700027465820312 0.21400070190429688      E1
